                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                 4.6896,                 4.4028,                 2.5273,                0.22943,                0.39935,                0.21753,                0.08238,                 4.7309,                 5.5207,                 2.6455,               0.001469,               0.001469,               0.001469
                     14,                 4.6698,                 4.5895,                 2.5091,                0.27616,                0.49026,                0.24727,                0.09445,                 3.9877,                 5.0106,                 2.2858,              0.0014525,              0.0014525,              0.0014525
                     15,                 4.6164,                 4.3909,                  2.478,                0.37965,                0.36039,                0.31148,                0.13238,                 4.1307,                 5.5804,                 2.3755,               0.001436,               0.001436,               0.001436
                     16,                 4.5955,                 4.2614,                 2.4846,                0.31325,                 0.2013,                0.21477,                0.07215,                 4.3572,                 4.3077,                 2.4791,              0.0014195,              0.0014195,              0.0014195
                     17,                 4.5061,                 4.1151,                  2.427,                 0.2514,                0.73377,                0.25758,                0.10807,                 4.3505,                  5.875,                 2.4838,              0.0014029,              0.0014029,              0.0014029
                     18,                 4.3847,                   4.05,                  2.364,                0.28276,                0.55519,                0.26902,                0.12068,                 4.1012,                 4.0524,                 2.3681,              0.0013864,              0.0013864,              0.0013864
                     19,                 4.4895,                 3.8998,                 2.4484,                0.41471,                0.45779,                0.39594,                0.15157,                 4.3496,                 5.0225,                 2.4821,              0.0013699,              0.0013699,              0.0013699
                     20,                 4.4083,                  4.063,                 2.4948,                0.41362,                0.49026,                0.40576,                0.20036,                 3.9463,                 3.5919,                 2.3744,              0.0013534,              0.0013534,              0.0013534
                     21,                 4.4081,                 3.7961,                  2.423,                0.44359,                0.47078,                0.35787,                0.12384,                  4.322,                 5.4888,                 2.5314,              0.0013369,              0.0013369,              0.0013369
                     22,                 4.4508,                  3.951,                 2.4502,                 0.5592,                 0.3889,                0.33751,                0.14733,                 3.9516,                 4.0005,                  2.326,              0.0013204,              0.0013204,              0.0013204
                     23,                 4.4024,                 4.0257,                 2.4889,                0.20601,                0.62013,                0.34245,                0.11674,                 4.1059,                 3.8997,                 2.3897,              0.0013039,              0.0013039,              0.0013039
                     24,                 4.4154,                 3.7417,                 2.3964,                0.83296,                0.67266,                0.81997,                0.36634,                 4.2736,                 3.6284,                 2.4505,              0.0012874,              0.0012874,              0.0012874
                     25,                 4.4147,                 3.6477,                 2.4567,                0.80407,                0.25974,                0.31569,                0.12309,                 4.0742,                 3.6566,                  2.378,              0.0012709,              0.0012709,              0.0012709
                     26,                 4.3193,                 3.7862,                 2.4659,                0.93715,                   0.25,                 0.5489,                0.29457,                 4.0513,                 3.4508,                 2.3962,              0.0012544,              0.0012544,              0.0012544
                     27,                 4.4245,                 3.7499,                 2.4365,                0.58053,                 0.6039,                0.64662,                0.33386,                  4.107,                  4.095,                  2.394,              0.0012379,              0.0012379,              0.0012379
                     28,                  4.263,                 3.5599,                 2.3421,                0.77531,                0.28571,                0.31904,                0.14013,                 3.9035,                  3.811,                 2.3272,              0.0012214,              0.0012214,              0.0012214
                     29,                 4.2628,                 3.5926,                 2.4041,                0.28352,                0.29766,                0.28998,                0.12308,                 4.0251,                 3.2284,                 2.3886,              0.0012049,              0.0012049,              0.0012049
                     30,                 4.1902,                  3.567,                 2.3888,                0.49037,                0.41883,                0.37306,                 0.1576,                 3.8153,                 3.7251,                 2.2989,              0.0011884,              0.0011884,              0.0011884
                     31,                 4.3076,                  3.495,                 2.4558,                0.67549,                0.78571,                0.78474,                0.36568,                  3.824,                 3.1506,                 2.3275,              0.0011719,              0.0011719,              0.0011719
                     32,                 4.2442,                 3.3413,                 2.3519,                0.66011,                0.75825,                0.76376,                0.36104,                 3.9219,                 3.4298,                 2.3632,              0.0011554,              0.0011554,              0.0011554
                     33,                  4.137,                 3.4713,                 2.3722,                0.68153,                0.43517,                0.54253,                 0.2196,                 3.9272,                 3.4066,                 2.3474,              0.0011389,              0.0011389,              0.0011389
                     34,                 4.1758,                 3.3125,                 2.3377,                0.40832,                 0.5487,                0.39649,                0.16581,                 3.9533,                 3.5025,                 2.3607,              0.0011224,              0.0011224,              0.0011224
                     35,                 4.2711,                 3.2401,                 2.4115,                0.22842,                 0.3113,                0.26284,                0.08969,                 4.4197,                 4.7747,                 2.5346,              0.0011059,              0.0011059,              0.0011059
                     36,                 4.3287,                 3.6108,                 2.4758,                0.38724,                0.29221,                0.32209,                0.12765,                 3.8776,                 3.4027,                 2.3634,              0.0010894,              0.0010894,              0.0010894
                     37,                 4.3071,                 3.4547,                 2.4373,                0.47989,                0.68233,                 0.6144,                0.22823,                 4.0302,                 3.4491,                 2.3865,              0.0010729,              0.0010729,              0.0010729
                     38,                 4.1461,                 3.3467,                 2.3629,                0.43936,                0.83821,                0.64386,                0.35495,                 3.9581,                  2.972,                 2.3756,              0.0010564,              0.0010564,              0.0010564
                     39,                 4.3229,                 3.2031,                 2.4219,                0.26051,                 0.6526,                0.39667,                0.19113,                 4.0167,                  3.202,                 2.3582,              0.0010399,              0.0010399,              0.0010399
                     40,                 4.1439,                  3.262,                 2.3667,                0.34112,                0.56909,                 0.3826,                0.15569,                 4.0546,                 3.2853,                 2.3984,              0.0010234,              0.0010234,              0.0010234
                     41,                 4.2711,                 3.2252,                  2.379,                0.42923,                0.44952,                0.46861,                 0.1988,                 4.2141,                 3.5974,                 2.4234,              0.0010069,              0.0010069,              0.0010069
                     42,                 4.1441,                 3.0847,                 2.3465,                0.46059,                0.50941,                0.36985,                 0.1621,                 3.9643,                 3.2888,                 2.3522,             0.00099036,             0.00099036,             0.00099036
                     43,                 4.0633,                 3.0036,                 2.2752,                0.41793,                0.52273,                0.34831,                0.13904,                 3.9689,                 3.2734,                 2.3914,             0.00097386,             0.00097386,             0.00097386
                     44,                 4.3638,                 3.1651,                    2.4,                0.54711,                0.42532,                0.50645,                0.25251,                 3.9893,                 3.3489,                 2.4402,             0.00095736,             0.00095736,             0.00095736
                     45,                 4.1794,                   3.12,                 2.3297,                0.44691,                0.44146,                0.46768,                0.18061,                 4.6112,                 3.4572,                 2.6391,             0.00094085,             0.00094085,             0.00094085
                     46,                 4.1953,                 3.0887,                 2.3677,                0.77496,                0.41883,                0.65285,                0.33235,                 4.0545,                 2.8066,                 2.4015,             0.00092435,             0.00092435,             0.00092435
                     47,                 4.1092,                 3.0833,                 2.3481,                0.47157,                0.56169,                0.44914,                0.20244,                 4.3057,                 3.0238,                 2.5212,             0.00090785,             0.00090785,             0.00090785
                     48,                  4.057,                 3.0157,                 2.3054,                0.64858,                0.50325,                0.59213,                 0.2541,                 4.3717,                 3.3236,                 2.5032,             0.00089134,             0.00089134,             0.00089134
                     49,                 4.0932,                 2.9682,                 2.2996,                0.63514,                0.49026,                0.51768,                0.20458,                 4.2757,                 3.1648,                 2.4629,             0.00087484,             0.00087484,             0.00087484
                     50,                 4.1841,                 3.0359,                 2.3732,                0.51648,                0.50325,                0.48613,                0.23619,                 4.0598,                 3.0359,                 2.3678,             0.00085834,             0.00085834,             0.00085834
                     51,                  4.075,                  3.023,                 2.3507,                0.67704,                0.71067,                0.63413,                0.33104,                 4.2457,                 3.0129,                  2.431,             0.00084184,             0.00084184,             0.00084184
                     52,                 4.0602,                 2.9793,                 2.3267,                0.40751,                0.51826,                0.38894,                0.16939,                 4.1908,                 3.0904,                 2.4053,             0.00082533,             0.00082533,             0.00082533
                     53,                 4.3174,                 3.1127,                 2.3629,                0.58745,                0.41883,                0.46528,                0.20095,                 4.5672,                 3.5442,                 2.5597,             0.00080883,             0.00080883,             0.00080883
                     54,                 4.1689,                 2.9335,                  2.363,                 0.8276,                0.26623,                 0.4333,                0.21916,                  3.894,                 2.8486,                 2.3474,             0.00079233,             0.00079233,             0.00079233
                     55,                 4.0868,                   2.89,                 2.3087,                  0.408,                0.62831,                0.48388,                0.25096,                 3.9179,                 2.7668,                 2.3619,             0.00077582,             0.00077582,             0.00077582
                     56,                 4.0474,                 2.8164,                 2.3187,                0.32507,                0.26623,                0.36205,                0.16227,                 3.9662,                 2.9704,                 2.3749,             0.00075932,             0.00075932,             0.00075932
                     57,                 3.9788,                 2.8676,                 2.3527,                0.32877,                0.27922,                0.34151,                0.15347,                 3.9218,                 2.9187,                 2.3465,             0.00074282,             0.00074282,             0.00074282
                     58,                 4.0463,                  2.824,                 2.3478,                0.29621,                 0.6461,                0.43024,                0.19588,                 4.1098,                 2.9277,                 2.4077,             0.00072631,             0.00072631,             0.00072631
                     59,                 3.9575,                 2.8938,                 2.3569,                0.65949,                0.47078,                0.52956,                0.28633,                 4.2249,                 2.9042,                 2.4886,             0.00070981,             0.00070981,             0.00070981
                     60,                 4.0012,                 2.8892,                 2.2779,                0.60649,                0.46976,                0.57208,                0.33435,                 4.1004,                 2.7998,                  2.424,             0.00069331,             0.00069331,             0.00069331
                     61,                  3.975,                 2.8493,                 2.4112,                0.25168,                0.35714,                0.33237,                0.14219,                 4.0376,                 3.2544,                 2.4036,              0.0006768,              0.0006768,              0.0006768
                     62,                 3.9722,                 2.8713,                 2.2982,                0.29422,                0.33117,                0.32836,                0.13229,                 4.0433,                 3.0451,                 2.3883,              0.0006603,              0.0006603,              0.0006603
                     63,                 3.9106,                 2.7687,                 2.3254,                0.32879,                0.24943,                0.30836,                0.13046,                 4.0764,                 2.9823,                 2.4073,              0.0006438,              0.0006438,              0.0006438
                     64,                 3.9384,                 2.8477,                 2.3107,                0.74453,                0.44481,                0.56328,                 0.2668,                 4.4279,                 2.9939,                 2.5509,             0.00062729,             0.00062729,             0.00062729
                     65,                 4.0734,                 2.7567,                 2.3548,                0.59274,                0.54221,                0.61674,                0.29309,                 4.3953,                 2.7642,                  2.518,             0.00061079,             0.00061079,             0.00061079
                     66,                 3.9384,                 2.7154,                 2.2766,                0.43054,                0.57468,                0.59733,                 0.3224,                 4.3171,                  2.771,                 2.4823,             0.00059429,             0.00059429,             0.00059429
                     67,                 3.9535,                 2.7516,                 2.2494,                0.82477,                0.25275,                0.29561,                0.09954,                 4.7445,                  3.145,                 2.6763,             0.00057778,             0.00057778,             0.00057778
                     68,                 3.8666,                 2.6929,                  2.226,                0.28055,                0.31818,                0.30487,                0.10988,                 4.4429,                   2.94,                  2.554,             0.00056128,             0.00056128,             0.00056128
                     69,                 3.9345,                 2.5885,                 2.3152,                 0.4837,                0.57526,                0.58902,                0.23704,                 4.2726,                 2.6923,                 2.4938,             0.00054478,             0.00054478,             0.00054478
                     70,                  3.781,                 2.5752,                 2.2874,                0.50837,                 0.5487,                0.57339,                0.23502,                 4.2259,                  2.801,                 2.4598,             0.00052827,             0.00052827,             0.00052827
                     71,                 3.8846,                 2.7604,                 2.3497,                0.32536,                0.63312,                0.37032,                 0.1602,                 4.1036,                 2.9466,                 2.4022,             0.00051177,             0.00051177,             0.00051177
                     72,                 3.8544,                 2.5684,                  2.235,                0.81596,                0.30519,                0.36954,                0.15431,                 4.2057,                 2.9906,                 2.4564,             0.00049527,             0.00049527,             0.00049527
                     73,                 3.9316,                 2.7452,                 2.3341,                0.77165,                0.41883,                0.54485,                0.29768,                 4.1573,                 3.0382,                 2.4465,             0.00047876,             0.00047876,             0.00047876
                     74,                 3.7633,                 2.5697,                  2.271,                0.47564,                0.51059,                0.54451,                0.26293,                 4.3636,                 2.9894,                 2.5131,             0.00046226,             0.00046226,             0.00046226
                     75,                 3.8188,                 2.5364,                 2.2292,                 0.5684,                0.50325,                0.43942,                0.18942,                 4.2617,                  2.861,                 2.4627,             0.00044576,             0.00044576,             0.00044576
                     76,                 3.7586,                 2.5452,                  2.242,                0.50533,                0.53813,                0.41375,                0.18252,                 4.3207,                 3.1436,                 2.4699,             0.00042925,             0.00042925,             0.00042925
                     77,                  3.766,                 2.4927,                 2.2167,                0.55967,                0.52464,                 0.4064,                 0.1599,                  4.387,                 3.2701,                 2.5161,             0.00041275,             0.00041275,             0.00041275
                     78,                 3.7594,                 2.6272,                 2.2439,                 0.5538,                0.49026,                0.39126,                0.16825,                 4.3303,                 3.5268,                 2.4881,             0.00039625,             0.00039625,             0.00039625
                     79,                 3.8538,                 2.5215,                 2.2651,                0.27403,                0.40195,                0.34818,                0.16875,                 4.2099,                 3.5048,                 2.4708,             0.00037974,             0.00037974,             0.00037974
                     80,                 3.7317,                 2.4878,                 2.2152,                0.22033,                0.35714,                0.39366,                 0.1901,                 4.0851,                 3.2335,                 2.4282,             0.00036324,             0.00036324,             0.00036324
                     81,                 3.7128,                  2.455,                 2.2589,                 0.5479,                0.58766,                0.45687,                0.21631,                  4.123,                 3.0556,                 2.4246,             0.00034674,             0.00034674,             0.00034674
                     82,                 3.7043,                 2.4073,                 2.2272,                0.49869,                0.57468,                0.58027,                 0.3153,                 4.0969,                 2.9513,                 2.4129,             0.00033023,             0.00033023,             0.00033023
                     83,                 3.7199,                 2.4389,                 2.2063,                 0.7857,                0.50325,                0.60269,                0.32282,                 4.2093,                 2.8198,                 2.4578,             0.00031373,             0.00031373,             0.00031373
                     84,                 3.6669,                 2.5036,                 2.2141,                0.72848,                0.52273,                0.61567,                 0.3559,                 4.1648,                 2.8266,                 2.4257,             0.00029723,             0.00029723,             0.00029723
                     85,                 3.7779,                 2.4922,                 2.2488,                0.67055,                0.49675,                0.60562,                0.32883,                 4.2572,                 2.7975,                 2.4656,             0.00028072,             0.00028072,             0.00028072
                     86,                 3.6761,                 2.4569,                 2.2311,                0.62284,                0.48904,                0.61867,                0.33322,                 4.2498,                 2.7571,                 2.4608,             0.00026422,             0.00026422,             0.00026422
                     87,                 3.6089,                 2.4557,                 2.2704,                0.66314,                 0.4673,                0.61682,                0.32946,                 4.2897,                  2.821,                 2.4831,             0.00024772,             0.00024772,             0.00024772
                     88,                 3.5784,                 2.4626,                  2.183,                0.71336,                0.46429,                0.59175,                0.31389,                  4.269,                 2.9103,                 2.4611,             0.00023121,             0.00023121,             0.00023121
                     89,                 3.6397,                 2.4173,                 2.2135,                0.55422,                0.52273,                0.55763,                0.30323,                  4.201,                 2.9715,                 2.4261,             0.00021471,             0.00021471,             0.00021471
                     90,                    3.6,                 2.3628,                 2.2012,                0.56734,                0.47564,                 0.5461,                0.27349,                 4.1905,                 3.0257,                 2.4368,             0.00019821,             0.00019821,             0.00019821
                     91,                 3.6101,                 2.4813,                 2.2637,                0.40087,                0.56818,                0.37306,                0.17002,                 4.1519,                 2.9298,                 2.4241,              0.0001817,              0.0001817,              0.0001817
                     92,                 3.6047,                 2.4258,                 2.2812,                0.40637,                0.58842,                0.38236,                0.17357,                 4.0539,                 2.8683,                 2.3902,              0.0001652,              0.0001652,              0.0001652
                     93,                 3.5472,                  2.375,                 2.2669,                0.43703,                0.55751,                0.38684,                0.16794,                 4.1191,                 2.9097,                 2.4284,              0.0001487,              0.0001487,              0.0001487
                     94,                 3.5619,                  2.361,                 2.2774,                0.31561,                 0.6526,                0.37454,                0.16688,                 4.1406,                 2.7911,                 2.4322,             0.00013219,             0.00013219,             0.00013219
                     95,                   3.56,                  2.409,                 2.2936,                0.30632,                0.60899,                0.37024,                0.16924,                 4.1072,                 2.8666,                  2.416,             0.00011569,             0.00011569,             0.00011569
                     96,                 3.5035,                 2.3857,                  2.242,                 0.2865,                 0.6461,                0.36906,                0.15626,                 4.1937,                 2.8458,                  2.454,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 3.3485,                 2.2504,                 2.2177,                0.36438,                0.58518,                0.38419,                0.16061,                 4.2358,                 2.8285,                 2.4775,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                  3.462,                  2.329,                 2.2367,                0.38594,                0.61524,                0.38703,                0.16475,                 4.2202,                 2.8353,                 2.4528,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 3.3815,                 2.3076,                 2.2111,                 0.4297,                0.56818,                0.38743,                0.17205,                  4.186,                 2.8775,                  2.454,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 3.3833,                 2.2824,                 2.2701,                 0.4824,                0.54221,                0.40812,                0.18532,                 4.1732,                 2.9015,                 2.4505,             3.3173e-05,             3.3173e-05,             3.3173e-05
