                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.2508,                 9.7123,                 3.2427,                      0,                      0,                      0,                      0,                 4.9629,                 9.1175,                 2.6616,             0.00018337,             0.00018337,             0.00018337
                      2,                 5.2054,                 8.0478,                 2.5846,                 0.0002,                0.00649,                0.00197,                0.00039,                 4.0282,                 8.3201,                  2.106,             0.00037961,             0.00037961,             0.00037961
                      3,                   5.03,                 6.6728,                 2.4269,                 0.0097,                0.30519,                0.17329,                0.04972,                 4.1536,                  8.044,                 2.3026,              0.0005719,              0.0005719,              0.0005719
                      4,                 4.9674,                 6.1528,                 2.4014,                0.00814,                0.23377,                0.09784,                0.03061,                 4.0448,                 7.9422,                 2.3513,             0.00076022,             0.00076022,             0.00076022
                      5,                 4.8467,                  5.815,                 2.5439,                0.00241,                0.32792,                0.00613,                0.00234,                 4.2175,                 7.6725,                  2.487,             0.00094458,             0.00094458,             0.00094458
                      6,                 4.7207,                 5.3709,                 2.5365,                 0.0105,                 0.5487,                0.10926,                0.02869,                 4.3162,                 7.1395,                 2.5196,               0.001125,               0.001125,               0.001125
                      7,                 4.8299,                  5.414,                 2.5267,                0.13484,                0.32055,                0.08003,                0.02395,                 4.2594,                 7.1342,                 2.3532,              0.0013014,              0.0013014,              0.0013014
                      8,                 4.6371,                 5.2307,                 2.5891,                0.96539,                   0.25,                0.35906,                0.14483,                 4.1555,                 7.9247,                 2.3536,              0.0014739,              0.0014739,              0.0014739
                      9,                 4.7159,                 5.4211,                 2.4404,                0.42305,                   0.25,                0.34064,                0.24947,                 4.0001,                 7.3168,                 2.3045,               0.001535,               0.001535,               0.001535
                     10,                 4.5696,                 4.9461,                 2.5126,                0.20572,                0.66234,                0.17554,                0.06008,                 4.1038,                 5.6733,                 2.3106,              0.0015185,              0.0015185,              0.0015185
                     11,                 4.6143,                    4.5,                 2.4453,                0.93016,                   0.25,                0.41358,                0.18777,                 4.0484,                 6.7358,                 2.3467,               0.001502,               0.001502,               0.001502
                     12,                 4.5813,                  4.671,                 2.5112,                0.69018,                   0.25,                 0.4429,                0.26946,                 4.0214,                 5.8148,                  2.414,              0.0014855,              0.0014855,              0.0014855
