                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4885,                 1.7298,                  1.482,                0.76915,                0.25325,                0.25682,                0.09323,                 2.0485,                 1.5976,                 1.3011,              0.0011059,              0.0011059,              0.0011059
                     36,                 2.4555,                 1.7926,                 1.5221,                0.20598,                0.22727,                0.22834,                0.08043,                 2.3095,                 1.6409,                 1.4023,              0.0010894,              0.0010894,              0.0010894
                     37,                 2.5081,                 1.8064,                 1.4864,                0.19311,                0.24675,                0.19758,                0.06433,                  2.238,                 1.7743,                 1.3587,              0.0010729,              0.0010729,              0.0010729
                     38,                 2.4431,                 1.7433,                  1.483,                0.20155,                0.27273,                0.25293,                0.09297,                 2.1928,                 1.5833,                 1.3267,              0.0010564,              0.0010564,              0.0010564
                     39,                 2.5072,                  1.716,                 1.5006,                0.24526,                 0.5487,                0.26016,                0.09451,                 2.1521,                 2.1013,                 1.2995,              0.0010399,              0.0010399,              0.0010399
                     40,                 2.4661,                 1.7083,                 1.4831,                0.21516,                0.26623,                0.27284,                0.10274,                  2.154,                 1.7683,                 1.3046,              0.0010234,              0.0010234,              0.0010234
                     41,                 2.4574,                  1.675,                 1.4534,                0.76986,                0.25974,                0.28469,                0.08567,                  2.368,                  1.809,                 1.3712,              0.0010069,              0.0010069,              0.0010069
                     42,                 2.4377,                 1.6634,                 1.4362,                0.28463,                0.31818,                0.34128,                0.13049,                 2.1239,                 1.8584,                 1.2816,             0.00099036,             0.00099036,             0.00099036
                     43,                 2.4004,                 1.6069,                 1.3837,                0.48782,                0.44786,                0.49747,                 0.2082,                 2.4157,                 1.7495,                 1.3955,             0.00097386,             0.00097386,             0.00097386
                     44,                 2.5149,                 1.6991,                 1.4551,                0.22266,                0.31818,                0.30319,                0.11833,                 2.1546,                 1.6204,                 1.3088,             0.00095736,             0.00095736,             0.00095736
                     45,                 2.4046,                 1.6763,                 1.4119,                0.26212,                0.27273,                0.30742,                  0.118,                 2.1105,                 1.4821,                 1.2942,             0.00094085,             0.00094085,             0.00094085
