                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.5558,                 9.2734,                 4.2165,                      0,                      0,                      0,                      0,                  6.827,                 8.9522,                 4.1631,             0.00018337,             0.00018337,             0.00018337
                      2,                 6.2712,                 8.0756,                 4.0428,                      0,                      0,                      0,                      0,                 6.8266,                 8.9602,                 4.1597,             0.00037961,             0.00037961,             0.00037961
                      3,                 5.5016,                 5.7549,                 3.7098,                      0,                      0,                      0,                      0,                 6.8255,                 7.0393,                 4.1908,              0.0005719,              0.0005719,              0.0005719
                      4,                 4.5392,                  5.144,                 3.3423,                      0,                      0,                      0,                      0,                 6.8268,                 6.9778,                 4.2777,             0.00076022,             0.00076022,             0.00076022
                      5,                 4.0525,                 3.9387,                 2.8437,                      0,                      0,                      0,                      0,                 6.8229,                 7.7034,                 4.3818,             0.00094458,             0.00094458,             0.00094458
                      6,                 3.6366,                 3.3265,                 2.4924,                      0,                      0,                      0,                      0,                 6.8139,                 10.816,                  4.828,               0.001125,               0.001125,               0.001125
                      7,                 3.6407,                  3.406,                 2.2047,                      0,                      0,                      0,                      0,                  6.803,                 8.2985,                 4.3769,              0.0013014,              0.0013014,              0.0013014
                      8,                  3.363,                 2.9677,                 2.1528,                      0,                      0,                      0,                      0,                 6.8094,                 8.2452,                 4.1078,              0.0014739,              0.0014739,              0.0014739
                      9,                 3.3519,                 2.9942,                 2.0003,                0.00148,                0.05195,                0.00499,                0.00151,                 4.6853,                 4.8175,                 2.5796,               0.001535,               0.001535,               0.001535
                     10,                 3.1599,                 2.7128,                 1.9651,                0.60237,                0.07189,                0.05479,                0.01612,                 2.6175,                 7.4543,                 1.6377,              0.0015185,              0.0015185,              0.0015185
                     11,                 3.2069,                  2.598,                 1.8422,                 0.5922,                0.12338,                0.06419,                0.02062,                 2.5228,                 6.7268,                 1.5772,               0.001502,               0.001502,               0.001502
                     12,                 3.1495,                 2.7294,                 1.8853,                0.60179,                0.19481,                0.09116,                0.02456,                 2.4765,                 4.4168,                 1.5224,              0.0014855,              0.0014855,              0.0014855
                     13,                 3.1641,                 2.5395,                 1.8447,                0.59179,                0.23377,                0.09043,                0.03049,                 2.4806,                 3.7388,                 1.4877,               0.001469,               0.001469,               0.001469
                     14,                 3.0755,                 2.5509,                 1.8072,                0.59066,                0.20709,                0.07598,                0.02406,                 2.4492,                  2.982,                 1.4828,              0.0014525,              0.0014525,              0.0014525
                     15,                  3.057,                 2.5263,                 1.7673,                0.61815,                 0.2013,                0.11876,                0.04191,                 2.3792,                 2.4959,                 1.4513,               0.001436,               0.001436,               0.001436
                     16,                 3.0389,                 2.5128,                 1.7845,                0.61168,                0.23717,                0.11431,                0.03842,                 2.3716,                 3.4235,                 1.4396,              0.0014195,              0.0014195,              0.0014195
                     17,                 2.9635,                 2.4132,                 1.7447,                0.62231,                 0.2013,                0.12072,                 0.0397,                   2.42,                 2.8283,                 1.4593,              0.0014029,              0.0014029,              0.0014029
                     18,                 2.8993,                 2.3256,                 1.6739,                0.57446,                0.15584,                0.06202,                0.01562,                 2.6649,                  3.001,                 1.5217,              0.0013864,              0.0013864,              0.0013864
                     19,                 2.9557,                 2.2879,                 1.7012,                0.66493,                0.17532,                0.16172,                0.05229,                 2.4115,                  3.096,                 1.4662,              0.0013699,              0.0013699,              0.0013699
                     20,                 2.8345,                 2.2647,                 1.7343,                 0.6234,                0.18831,                0.14832,                 0.0475,                 2.2593,                 2.2818,                 1.4237,              0.0013534,              0.0013534,              0.0013534
                     21,                 2.8455,                 2.1857,                  1.685,                0.57033,                0.19481,                0.06484,                0.01778,                 2.5001,                 3.2703,                 1.4655,              0.0013369,              0.0013369,              0.0013369
                     22,                 2.8422,                 2.3182,                  1.695,                0.60706,                 0.1039,                0.07078,                0.02018,                 2.4289,                 4.9523,                 1.4334,              0.0013204,              0.0013204,              0.0013204
                     23,                 2.8889,                 2.3371,                  1.737,                0.64893,                0.19835,                0.15053,                0.04967,                 2.3216,                 2.2999,                 1.4225,              0.0013039,              0.0013039,              0.0013039
                     24,                 2.8821,                 2.2375,                 1.6685,                0.62762,                0.25974,                0.12216,                 0.0362,                 2.4289,                 3.0172,                 1.4354,              0.0012874,              0.0012874,              0.0012874
                     25,                 2.8233,                 2.1601,                 1.6426,                0.66155,                0.24026,                0.17182,                0.05492,                 2.3029,                 3.3611,                 1.3948,              0.0012709,              0.0012709,              0.0012709
                     26,                 2.7365,                 2.1639,                  1.657,                0.68693,                0.21429,                0.18832,                0.06465,                 2.3786,                 2.6131,                 1.4346,              0.0012544,              0.0012544,              0.0012544
                     27,                 2.7407,                  2.142,                  1.605,                 0.6522,                0.25008,                0.17899,                0.06585,                 2.2474,                 2.2638,                 1.3794,              0.0012379,              0.0012379,              0.0012379
                     28,                 2.6842,                 2.0697,                 1.5718,                0.60827,                0.17588,                0.10517,                0.02728,                 2.5336,                 2.3618,                 1.4858,              0.0012214,              0.0012214,              0.0012214
                     29,                 2.7189,                 2.0894,                   1.62,                0.65776,                0.27273,                0.17786,                0.05807,                 2.2738,                 2.1665,                 1.3883,              0.0012049,              0.0012049,              0.0012049
                     30,                 2.6404,                 2.0723,                 1.6102,                0.69985,                0.19481,                0.20097,                0.06823,                 2.3884,                 1.9663,                 1.4561,              0.0011884,              0.0011884,              0.0011884
                     31,                 2.6789,                 2.0213,                 1.6056,                0.70311,                0.22658,                0.17795,                0.06257,                 2.2576,                 1.9205,                 1.3831,              0.0011719,              0.0011719,              0.0011719
                     32,                 2.6586,                 2.0207,                 1.5439,                0.66209,                0.16234,                0.12782,                 0.0466,                 2.5269,                 2.5247,                  1.462,              0.0011554,              0.0011554,              0.0011554
                     33,                 2.6492,                  2.176,                 1.5573,                0.69637,                0.22727,                0.22917,                0.07529,                  2.297,                 1.9004,                  1.411,              0.0011389,              0.0011389,              0.0011389
                     34,                 2.6271,                   2.03,                 1.5537,                0.71034,                0.23107,                0.29262,                0.10038,                 2.2414,                 1.8085,                 1.3999,              0.0011224,              0.0011224,              0.0011224
                     35,                 2.6188,                 1.9335,                 1.5555,                0.67873,                0.25974,                0.31436,                0.14006,                 2.1676,                 2.2151,                 1.3376,              0.0011059,              0.0011059,              0.0011059
                     36,                 2.6804,                 2.1056,                  1.636,                0.19637,                0.22727,                0.20265,                 0.0743,                 2.2986,                 2.1166,                 1.4008,              0.0010894,              0.0010894,              0.0010894
